round,client_id,excluded,pid_score
1,7,0,0.7225034476127745
1,4,0,0.6723895410144249
1,3,0,0.6679172199242361
1,1,0,0.6882089451790181
1,10,0,0.7592643907895578
1,8,0,0.687299349764247
1,16,0,0.6715032251177538
1,17,0,0.6425894467486788
1,18,0,0.6907343631146994
1,19,0,0.6923781184318102
2,3,0,1.7601155788990117
2,9,0,1.549921679526071
2,5,0,1.5841161674535615
2,4,0,1.8296497491222157
2,13,0,1.5559817218953351
2,10,0,1.8289952873799966
2,11,0,1.5358351501007512
2,14,0,1.5978910532749002
2,16,0,1.803449203387859
2,19,0,1.7987447885462096
3,9,0,2.378018060368572
3,2,0,1.9466666517102595
3,8,0,2.3756381865397795
3,10,0,2.079382756860085
3,11,0,2.0545982374683742
3,14,0,2.289613053606149
3,13,0,2.039722938448356
3,17,1,2.6072376543687397
3,19,0,2.0873744581844043
3,20,0,1.90683006839402
3,17,1,2.6072376543687397
4,2,0,1.7700359067102491
4,4,0,1.986840935578395
4,5,0,1.6927994591495947
4,6,0,1.5184509953434413
4,8,0,1.7429311154703742
4,11,0,1.684434046467207
4,14,0,1.707311954231937
4,16,0,1.74294666189193
4,18,0,1.9611084937799463
4,19,0,1.8201087831052563
4,17,1,2.6072376543687397
5,5,0,0.9737972292922763
5,9,0,0.9209717567069243
5,2,0,0.9509688454180032
5,6,0,0.8440764524572749
5,13,0,0.9400236115552596
5,11,0,1.082072372272132
5,14,0,1.120652640503821
5,18,0,0.9261252066480885
5,20,0,0.7929434329090526
5,19,0,1.149891644287094
5,17,1,2.6072376543687397
